 Group      Members
   1.1   056A, 433C
  1.10 28789, 29505
 1.100 50985, 50196
 1.101 50986, 29313
 1.102 50987, 29230
 1.103 50989, 51085
 1.104 50990, 50210
 1.105 50992, 29399
 1.106 50994, 51312
 1.107 50996, 51276
 1.108 50997, 51266
 1.109 50998, 51102
  1.11  28795, 216C
 1.110 51003, 51079
 1.111 51006, 51069
 1.112  51014, 218C
 1.113 51206, 28900
 1.114 51212, 50211
 1.115 51214, 29397
 1.116 51216, 29396
 1.117 51217, 51272
 1.118 51218, 51269
 1.119 51222, 29384
  1.12 28796, 28877
 1.120 51223, 51256
 1.121 51234, 29227
 1.122 51235, 29383
 1.123 51240, 51254
 1.124 51241, 51121
 1.125 51248, 51250
 1.126 51249, 28804
 1.127 51293, 51105
 1.128 51295, 29382
 1.129 51298, 50198
  1.13 28815, 29390
 1.130 51301, 28868
 1.131 51302, 50432
  1.14 28817, 29326
  1.15 28820, 28863
  1.16 28835, 50195
  1.17 28843, 28854
  1.18 28853, 28852
  1.19 28857, 29243
   1.2  092A, 50217
  1.20 28860, 28894
  1.21 28861, 28902
  1.22 28864, 28888
  1.23  28865, 407C
  1.24 28866, 28904
  1.25 28872, 28867
  1.26 28874, 28893
  1.27 28879, 29237
  1.28 28884, 29483
  1.29 28890, 29374
   1.3   096A, 415C
  1.30 28897, 29250
  1.31 28898, 29357
  1.32 28899, 51309
  1.33 28905, 51251
  1.34 28906, 28878
  1.35 29179, 28889
  1.36 29181, 29751
  1.37 29183, 50433
  1.38 29185, 51314
  1.39 29186, 28881
   1.4   111A, 211C
  1.40 29188, 29236
  1.41 29191, 51100
  1.42 29192, 29472
  1.43 29197, 29471
  1.44 29198, 28870
  1.45 29200, 50461
  1.46 29204, 28762
  1.47 29206, 29455
  1.48 29214, 51261
  1.49 29223, 29254
   1.5  224A, 29431
  1.50 29273, 29499
  1.51 29275, 29750
  1.52 29277, 50447
  1.53 29281, 29468
  1.54 29283, 29244
  1.55 29284, 50445
  1.56 29385, 51123
  1.57 29389, 29425
  1.58 29392, 29465
  1.59 29435, 29454
   1.6   225A, 217C
  1.60 29458, 29418
  1.61 29479, 29238
  1.62 29729, 50456
  1.63 29730, 50214
  1.64 29731, 51311
  1.65 29735, 50443
  1.66 29737, 29450
  1.67  29738, 434C
  1.68  404A, 28895
  1.69  410A, 51090
   1.7  28752, 121C
  1.70  420A, 51094
  1.71 50183, 50209
  1.72 50186, 29316
  1.73 50187, 29321
  1.74 50188, 51257
  1.75 50189, 50438
  1.76 50191, 29346
  1.77 50212, 50436
  1.78 50486, 51098
  1.79 50500, 29757
   1.8 28765, 29378
  1.80 50504, 29327
  1.81 50512, 51265
  1.82 50513, 29513
  1.83 50515, 51315
  1.84 50516, 51103
  1.85 50517, 51313
  1.86 50520, 29347
  1.87 50521, 50459
  1.88 50524, 29317
  1.89 50528, 29423
   1.9 28771, 29474
  1.90 50530, 29475
  1.91 50964, 50460
  1.92 50968, 51081
  1.93 50969, 29232
  1.94 50970, 51080
  1.95 50972, 50435
  1.96 50973, 51268
  1.97 50974, 51099
  1.98 50979, 29419
  1.99 50982, 51308
