"x"
"022A","1.1"
"038A","1.2"
"045A","1.3"
"056A","1.4"
"071A","1.5"
"082A","1.6"
"091A","1.7"
"092A","1.8"
"095A","1.9"
"096A","1.10"
"111A","1.11"
"115A","1.12"
"123A","1.13"
"131A","1.14"
"136A","1.15"
"138A","1.16"
"141A","1.17"
"144A","1.18"
"147A","1.19"
"148A","1.20"
"150A","1.21"
"153A","1.22"
"155A","1.23"
"157A","1.24"
"159A_V2","1.25"
"160A","1.26"
"162A","1.27"
"167A","1.28"
"174A","1.29"
"175A","1.30"
"181A","1.31"
"191A","1.32"
"192A","1.33"
"194A","1.34"
"198A_V2","1.35"
"205A","1.36"
"209A","1.37"
"224A","1.38"
"225A","1.39"
"226A","1.40"
"404A","1.41"
"405A","1.42"
"406A_V2","1.43"
"409A","1.44"
"410A","1.45"
"413A","1.46"
"420A","1.47"
"048C","1.14"
"049C","1.24"
"064C","1.6"
"065C","1.30"
"067C","1.21"
"078C","1.12"
"086C","1.3"
"088C",NA
"090C","1.32"
"097C","1.40"
"098C","1.33"
"100C",NA
"101C","1.13"
"104C","1.29"
"106C","1.43"
"108C","1.5"
"109C","1.9"
"110C",NA
"119C","1.27"
"121C","1.2"
"122C","1.45"
"125C",NA
"128C","1.28"
"133C","1.47"
"146C",NA
"151C","1.23"
"152C","1.25"
"154C","1.16"
"165C","1.17"
"166C","1.11"
"168C","1.35"
"170C","1.38"
"172C","1.44"
"173C","1.8"
"176C","1.4"
"178C","1.26"
"179C","1.37"
"182C","1.34"
"183C","1.42"
"185C","1.10"
"186C","1.41"
"195C","1.15"
"197C","1.19"
"211C","1.7"
"212C","1.36"
"217C","1.31"
"218C","1.18"
"221C","1.22"
"402C","1.20"
"407C","1.39"
"415C","1.1"
"418C_V2","1.46"
