"048C","049C","064C","065C","067C","078C","086C","088C","090C","097C","098C","100C","101C","104C","106C","108C","109C","110C","119C","121C","122C","125C","128C","133C","146C","151C","152C","154C","165C","166C","168C","170C","172C","173C","176C","178C","179C","182C","183C","185C","186C","195C","197C","211C","212C","217C","218C","221C","402C","407C","415C","418C_V2"
"022A",0.037501260294102,100,100,0.166903704017447,100,0.624215705775264,100,0.241766630464996,100,100,100,0.356167869284904,100,100,100,100,0.681990264919594,100,100,100,100,100,100,100,100,0.231970260047782,0.646966298883398,0.49944322679222,100,100,100,100,100,100,100,100,100,100,100,100,0.441064019809035,100,0.222870050697979,0.218430714937796,100,100,100,100,100,100,0.0281519173981453,100
"038A",100,0.581064470381657,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.0160837059085013,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.523983991356175,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"045A",100,100,100,100,100,100,0.461868596938202,100,100,0.616392748556308,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"056A",100,100,100,100,0.678990900525845,0.509403734685604,100,100,100,100,0.0410777455642241,100,0.666496554202965,100,100,100,0.439105129108387,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.543001583904807,0.0402618551188703,0.639723599782705,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"071A",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.210579516085213,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"082A",100,100,100,100,100,100,100,100,100,100,0.541097780572939,100,100,100,100,100,100,100,100,100,100,100,100,0.381374246697726,100,100,100,100,0.420879812238146,100,100,100,100,100,0.523214302223718,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"091A",0.212457950854045,100,100,0.129987783009417,100,100,100,0.222537562258099,100,100,100,0.254323901525191,100,100,100,100,100,100,100,100,100,100,100,100,100,0.133377561275817,0.674487212811001,0.457438056459956,100,0.657550568163654,100,100,100,100,100,100,100,100,0.656529566509945,0.686230700716012,0.40099429298282,100,0.0668241700428727,0,100,100,100,100,100,100,0.247258177155536,100
"092A",100,100,100,100,100,0.43724013481984,100,100,100,100,0.146030540273233,100,0.688043287774258,100,100,100,0.490361960301512,100,100,100,0.658516579444284,100,100,100,100,100,100,100,100,100,100,100,100,0.6341317893435,0.0619178717608773,0.686041661888808,100,100,100,100,100,0.690498560484451,100,100,100,100,100,100,100,100,100,100
"095A",100,100,100,100,0.560276580507169,0.255123966565313,100,100,0.61870659153317,100,0.34982162352061,100,0.382506078050445,0.584575120201564,100,100,0.144899724910293,100,100,100,0.499724964782268,100,100,0.689407004469097,100,100,100,100,100,0.691433183120341,100,100,100,0.237558088892726,0.433934292032966,0.336090175188071,100,100,0.692039653226005,0.498103279057119,100,0.673971381912692,100,100,100,100,100,100,0.656024582817624,0.649449510268508,0.699101508067111,100
"096A",0.653971144076984,100,100,100,100,0.161824191496053,100,100,0.442783119143376,100,0.494910191060463,100,0.487655752085866,0.422962405192158,100,100,0.217854292080578,100,100,100,0.503116471646406,100,100,0.692563278039486,100,100,100,100,100,0.561724748880525,100,100,100,0.45324926169978,0.472211997993573,0.45416795151174,100,100,0.562331218986189,0.580515061691899,100,0.639205413439147,100,100,100,100,100,100,100,0.681461739438903,0.641937551430404,100
"111A",100,100,100,100,0.644847632570566,0.412169202156207,100,0.610990264727262,0.218891917726079,100,100,100,0.299664014755905,0.0226386792728579,100,100,0.571542418053936,100,100,100,0.236234773036652,100,100,100,100,100,100,100,0.677262899972155,0.458245622619735,100,100,100,0.664192065582744,100,0.6523979154775,100,100,0.466948136741869,0.45954282804339,100,0.488486885447144,100,100,100,100,100,100,0.533762895396958,0.517269450375116,100,100
"115A",0.629188065570003,100,100,100,100,0.231038003738553,100,100,0.380777299761882,100,0.514343851394434,100,0.567813235111016,0.454703340693291,100,100,0.344633099333139,100,100,100,0.564732082934232,100,100,100,100,100,100,100,100,0.470898885500062,100,100,100,0.579148781570456,0.454208353475587,0.567078787363363,100,100,0.471505355605726,100,100,0.598340517362529,100,100,100,100,100,100,100,0.645985661338049,0.607371833810442,100
"123A",100,100,100,100,0.56188671722519,0.380877279777087,100,0.664317057751279,0.351244443761851,100,100,100,0.186898662017654,0.174441745142487,100,100,0.455831803217728,100,100,100,0.0606562638331162,100,100,100,100,100,100,100,100,0.535163090725585,100,100,100,0.561280703890853,0.69799349451416,0.589687602132697,100,100,0.52646057660345,0.436343815300642,100,0.388039916276269,100,100,100,100,100,100,0.56799255053218,0.565952997196751,100,100
"131A",100,100,100,100,100,100,100,100,100,100,0.541097780572939,100,100,100,100,100,100,100,100,100,100,100,100,0.381374246697726,100,100,100,100,0.420879812238146,100,100,100,100,100,0.523214302223718,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"136A",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.0596951179978638,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"138A",100,100,100,100,0.646599804194897,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.343521325410792,100,100,100,0.505447407461132,0.229374098362018,100,100,100,100,100,100,100,100,100,100,100,0.666783736220694,0.563788821596969,100,100,100,100,100,100,0.666403776852566,0.599095929141807,100,100
"141A",100,100,100,100,0.662865279442396,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.362035279252788,100,100,100,0.504874688798237,0.236537417146556,100,100,100,100,100,100,100,100,100,100,100,0.666211017557799,0.570463999657731,100,100,100,100,100,100,0.682669252100065,0.599956112742498,100,100
"144A",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.177704199618348,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"147A",0.258358569956451,100,100,0.228131437564015,100,100,100,0.26894508879811,100,100,100,0.351186203944358,100,100,100,100,100,100,100,100,100,100,100,100,100,0.231694290134888,0.673664540780217,0.453489938189898,100,0.559233839304583,100,100,100,100,100,0.636187935161386,100,100,0.558212837650873,100,0.397046174712761,100,0.0695062608095043,0.0983167288590712,100,100,100,100,100,100,0.293660672631093,100
"148A",100,100,100,100,0.421042488791327,0.673719667062196,100,100,0.443707622073066,100,100,0.650695611767532,0.627483895820538,0.476052725405771,100,100,100,100,100,100,0.589497390959398,100,100,100,100,100,100,100,0.697514527752509,0.593721104635958,100,100,100,100,100,100,100,100,0.602423618758092,100,100,0.18166260409217,100,100,100,100,100,100,0.442330625621545,0.187937591373979,100,100
"150A",100,100,100,100,0.285773364383291,0.643611323936447,100,100,0.666165384637059,100,100,0.698966395931635,0.578726729845709,100,100,100,0.58578830186484,100,100,100,0.63301769371778,100,100,100,100,100,100,100,100,0.493991173900471,100,100,100,0.617236866511053,100,0.547252795722473,100,100,0.502693688022606,0.622555586203675,100,0.27869699940546,100,100,100,100,100,100,0.390079747374275,0.242598074327604,100,100
"153A",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.261997892055608,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.246008460084733,100,100,0.247860011574769,100,100,100,100
"155A",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.0583347745339586,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"157A",100,0.107172260641291,0.431918706124069,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.608637691627923,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.665089534486677,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"159A_V2",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"160A",100,100,100,0.653490451863696,0.615805817370677,0.485238555304785,100,100,0.546468029905713,100,0.607181572759719,100,0.698745897829531,0.646003164242951,100,100,0.558827868213436,100,100,100,0.658383170063501,100,100,100,100,100,100,100,100,0.255500256847313,100,100,100,0.372361578590373,0.652635203856769,0.234466357070483,100,100,0.256106726952977,0.544321268437201,100,0.649422095379331,0.69888220012247,100,100,100,100,100,0.633020930843479,100,100,100
"162A",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.05973143492056,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"167A",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0.667381601205055,100,100,100,0.690820358855996,100,100,100,100,0.666979897019014,100,100,100,100,0.332936039799833,100,100,100,100,100,100,100,100,0.667165927675118,100,100,100,100,100,0.667164302333895
