"048C","049C","064C","065C","067C","078C","086C","088C","090C","097C","098C","100C","101C","104C","106C","108C","109C","110C","119C","121C","122C","125C","128C","133C","146C","151C","152C","154C","165C","166C","168C","170C","172C","173C","176C","178C","179C","182C","183C","185C","186C","195C","197C","211C","212C","217C","218C","221C","402C","407C","415C","418C_V2"
"022A",0,0.803283063565908,0.779649833786484,0,0.849798195303238,0.798611307594829,0.854422653970417,0.0385969857924113,0.814679106995071,0.786629642158688,0.850634021327883,0.135238450252938,0.793725063802129,0.816969727186062,0.849871566253873,0,0.795002156194963,0,0.973748833158907,0.853056595924014,0.799765312869821,0.699440747442301,0.699440747442301,0.94848818001807,0.690963596573732,0.0385969857924113,0.567477416713827,0.289699331961416,0.933746499896814,0.822362029879029,0.269548745228475,0.690963596573732,0,0.795002156194963,0.850634021327883,0.836854027407244,0.972299057075048,0.883309120071934,0.822362029879029,0.82535967343247,0.269548745228475,0.857531117696354,0.0385969857924113,0.0385969857924113,0.685569343917686,0.690963596573732,0.67991831190725,0.685569343917686,0.883309120071934,0.882761135094104,0,0.690963596573732
"038A",0.85347090097665,0.560071069772174,0.635382979902028,0.85347090097665,0.348696656421968,0.585837868340587,0.339008837879287,0.90835178659491,0.420271659486921,0.644695848192689,0.374679797442865,0.925871316556581,0.354782728680652,0.418334183570853,0.503138839569721,0.85347090097665,0.626712410630086,0.85347090097665,0.821224585928959,0.0399837264676554,0.469692707994422,0.793316910735764,0.793316910735764,0.938702115359621,0.989840169068477,0.90835178659491,0.988289070484786,0.964299663910391,0.939603339660266,0.504435228521942,0.96528190654782,0.989840169068477,0.85347090097665,0.626712410630086,0.374679797442865,0.726819798909935,0.757763510810891,0.469328067076296,0.504435228521942,0.437367888783392,0.96528190654782,0.377989234069662,0.90835178659491,0.90835178659491,0.983299597886443,0.989840169068477,0.989252387868132,0.983299597886443,0.469328067076296,0.565261985581901,0.85347090097665,0.989840169068477
"045A",0.858074084591698,0.313556212389221,0.309248759363122,0.858074084591698,0.722133664041058,0.371360139765467,0.322085952892896,0.912954970209958,0.634121851014748,0.303295969381433,0.128164940059911,0.930474500171629,0.64825228336443,0.63218437509868,0.657917548157176,0.858074084591698,0.380197553247132,0.858074084591698,0.797944995710611,0.333453281151434,0.591460669104354,0.7950245153352,0.7950245153352,0.720986047315982,0.991547773667913,0.912954970209958,0.990208209182179,0.968902847525438,0.906435355552029,0.718285420049769,0.969885090162867,0.991547773667913,0.858074084591698,0.380197553247132,0.128164940059911,0.512342070334815,0.861406070828679,0.794834750567908,0.718285420049769,0.762874572275005,0.969885090162867,0.659690092893253,0.912954970209958,0.912954970209958,0.985007202485879,0.991547773667913,0.990959992467568,0.985007202485879,0.794834750567908,0.799032520278016,0.858074084591698,0.991547773667913
"056A",0.850634021327883,0.314799002212996,0.427321191432532,0.850634021327883,0.593968723981146,0.372602929589242,0.450250892952808,0.905514906946143,0.752194283084158,0.436634059723194,0,0.923034436907814,0.520087343304519,0.75025680716809,0.656674758333401,0.850634021327883,0.252032613187221,0.850634021327883,0.796702205886835,0.33469607097521,0.592703458928129,0.794254392765484,0.794254392765484,0.759111869085531,0.990777651098197,0.905514906946143,0.989438086612463,0.968847416526324,0.944561177321578,0.766851194328827,0.969829659163753,0.990777651098197,0.850634021327883,0.252032613187221,0,0.449251352650088,0.733241130768767,0.666669810507997,0.766851194328827,0.634709632215093,0.969829659163753,0.660932882717029,0.905514906946143,0.905514906946143,0.984237079916163,0.990777651098197,0.990189869897852,0.984237079916163,0.666669810507997,0.670867580218104,0.850634021327883,0.990777651098197
"071A",0,0.803283063565908,0.779649833786484,0,0.849798195303238,0.798611307594829,0.854422653970417,0.0385969857924113,0.814679106995071,0.786629642158688,0.850634021327883,0.135238450252938,0.793725063802129,0.816969727186062,0.849871566253873,0,0.795002156194963,0,0.973748833158907,0.853056595924014,0.799765312869821,0.699440747442301,0.699440747442301,0.94848818001807,0.690963596573732,0.0385969857924113,0.567477416713827,0.289699331961416,0.933746499896814,0.822362029879029,0.269548745228475,0.690963596573732,0,0.795002156194963,0.850634021327883,0.836854027407244,0.972299057075048,0.883309120071934,0.822362029879029,0.82535967343247,0.269548745228475,0.857531117696354,0.0385969857924113,0.0385969857924113,0.685569343917686,0.690963596573732,0.67991831190725,0.685569343917686,0.883309120071934,0.882761135094104,0,0.690963596573732
"082A",0.961755352743817,0.721249866448273,0.713832380814766,0.961755352743817,0.937526457100825,0.730240162088216,0.587657123000831,0.962996656740796,0.893613290941307,0.692760713417305,0.472549074261865,0.980516186702467,0.90118381766258,0.891675815025239,0.860179198408013,0.961755352743817,0.724581687449086,0.961755352743817,0.910546282271309,0.649694335306682,0.907701723259602,0.797303704148041,0.797303704148041,0.286562794823666,0.993826962480753,0.962996656740796,0.992316553247758,0.786217015204598,0.472012103059713,0.891050156423912,0.787199257842027,0.993826962480753,0.961755352743817,0.724581687449086,0.472549074261865,0.734710930763726,0.947277758956113,0.945313071508474,0.891050156423912,0.91335289321557,0.787199257842027,0.898531664567924,0.962996656740796,0.962996656740796,0.987286391298719,0.993826962480753,0.993239181280408,0.987286391298719,0.945313071508474,0.909650099976387,0.961755352743817,0.993826962480753
"091A",0.0385969857924113,0.858163949184168,0.818246819578895,0.0385969857924113,0.904679080921498,0.83720829338724,0.909303539588677,0,0.77608212120266,0.825226627951099,0.905514906946143,0.0966414644605268,0.848605949420389,0.77837274139365,0.904752451872133,0.0385969857924113,0.849883041813223,0.0385969857924113,0.973829606770915,0.907937481542275,0.854646198488081,0.699964040446679,0.699964040446679,0.949729484015049,0.691486889578109,0,0.568000709718205,0.290940635958396,0.934987803893793,0.783765044086618,0.270790049225454,0.691486889578109,0.0385969857924113,0.849883041813223,0.905514906946143,0.798257041614832,0.972379830687055,0.844712134279522,0.783765044086618,0.786762687640059,0.270790049225454,0.912412003314614,0,0,0.686092636922063,0.691486889578109,0.680441604911628,0.686092636922063,0.844712134279522,0.844164149301693,0.0385969857924113,0.691486889578109
"092A",0.850634021327883,0.314799002212996,0.427321191432532,0.850634021327883,0.593968723981146,0.372602929589242,0.450250892952808,0.905514906946143,0.752194283084158,0.436634059723194,0,0.923034436907814,0.520087343304519,0.75025680716809,0.656674758333401,0.850634021327883,0.252032613187221,0.850634021327883,0.796702205886835,0.33469607097521,0.592703458928129,0.794254392765484,0.794254392765484,0.759111869085531,0.990777651098197,0.905514906946143,0.989438086612463,0.968847416526324,0.944561177321578,0.766851194328827,0.969829659163753,0.990777651098197,0.850634021327883,0.252032613187221,0,0.449251352650088,0.733241130768767,0.666669810507997,0.766851194328827,0.634709632215093,0.969829659163753,0.660932882717029,0.905514906946143,0.905514906946143,0.984237079916163,0.990777651098197,0.990189869897852,0.984237079916163,0.666669810507997,0.670867580218104,0.850634021327883,0.990777651098197
"095A",0.795002156194963,0.136314612171841,0.260410285914018,0.795002156194963,0.494250866094176,0.194118539548087,0.702283506140029,0.849883041813223,0.585283377565644,0.279439018598384,0.252032613187221,0.907836004614982,0.341602953263364,0.656894124795642,0.631912293752735,0.795002156194963,0,0.795002156194963,0.79534712717971,0.586728684162431,0.414219068886975,0.953744229719584,0.953744229719584,0.638572193863898,0.88810100131142,0.849883041813223,0.979814893963144,0.953648984233492,0.909143209768651,0.599940288810312,0.953691588292366,0.88810100131142,0.795002156194963,0,0.252032613187221,0.197218739462867,0.731886052061642,0.566951952621027,0.599940288810312,0.382677019027872,0.953691588292366,0.634763247976125,0.849883041813223,0.849883041813223,0.976398002191798,0.88810100131142,0.972634927779781,0.976398002191798,0.566951952621027,0.571149722331134,0.795002156194963,0.88810100131142
"096A",0.779649833786484,0.262144017920323,0,0.779649833786484,0.548184931452006,0.204340090544077,0.599297583448184,0.818246819578895,0.308589191825778,0.0111080150647711,0.427321191432532,0.876199782380655,0.602013239177382,0.380199939055775,0.586906046611165,0.779649833786484,0.260410285914018,0.779649833786484,0.81936682403566,0.627436382242206,0.540048474635456,0.955981802460202,0.955981802460202,0.712944594898284,0.975460281720745,0.818246819578895,0.971191281026189,0.951238624635895,0.814447757866315,0.382627380919709,0.951281228694768,0.975460281720745,0.779649833786484,0.260410285914018,0.427321191432532,0.245364518200422,0.867562240881377,0.52103139220835,0.382627380919709,0.511195550363549,0.951281228694768,0.554116433168419,0.818246819578895,0.818246819578895,0.902034370317155,0.975460281720745,0.890926355252384,0.902034370317155,0.52103139220835,0.525229161918457,0.779649833786484,0.975460281720745
