 Group       Members
   1.1    022A, 415C
  1.10    096A, 064C
  1.11    111A, 104C
  1.12    115A, 110C
  1.13    123A, 122C
  1.14    131A, 168C
  1.15    136A, 119C
  1.16    138A, 154C
  1.17    141A, 100C
  1.18    144A, 211C
  1.19    147A, 197C
   1.2    038A, 101C
  1.20    148A, 106C
  1.21    150A, 178C
  1.22 153A, 418C_V2
  1.23    155A, 166C
  1.24    157A, 109C
  1.25 159A_V2, 048C
  1.26    160A, 097C
  1.27    162A, 185C
  1.28    167A, 221C
  1.29    174A, 090C
   1.3    045A, 049C
  1.30    175A, 067C
  1.31    181A, 407C
  1.32    191A, 402C
  1.33    192A, 176C
  1.34    194A, 086C
  1.35 198A_V2, 133C
  1.36    205A, 108C
  1.37    209A, 088C
  1.38    224A, 125C
  1.39    225A, 182C
   1.4    056A, 098C
  1.40    226A, 078C
  1.41    404A, 152C
  1.42    405A, 183C
  1.43 406A_V2, 195C
  1.44    409A, 186C
  1.45    410A, 165C
  1.46    413A, 179C
  1.47    420A, 128C
   1.5    071A, 172C
   1.6    082A, 218C
   1.7    091A, 151C
   1.8    092A, 121C
   1.9    095A, 173C
